Methode;Couverture;Exactitude_sur_couverts;F1_macro;F1_macro_ecart_type
Arbre de décision — ACT + ODYSSEE;1.0;0.957;0.784;0.009
Arbre de décision — ACT + ODYSSEE [cas ambigus];1.0;0.8;0.565;0.016
Arbre de décision — ACT seul;1.0;0.953;0.778;0.007
Arbre de décision — ACT seul [cas ambigus];1.0;0.795;0.557;0.008
Forêt aléatoire — ACT + ODYSSEE;1.0;0.97;0.895;0.016
Forêt aléatoire — ACT + ODYSSEE [cas ambigus];1.0;0.867;0.803;0.03
Forêt aléatoire — ACT seul;1.0;0.945;0.793;0.016
Forêt aléatoire — ACT seul [cas ambigus];1.0;0.781;0.598;0.021
Règles apprises (table Résultat→Traitement);1.0;0.939;0.672;0.002
Règles apprises (table Résultat→Traitement) [cas ambigus];1.0;0.679;0.394;0.0
Règles métier expertes (3 règles);0.812;0.997;0.366;
Référence naïve (classe majoritaire);1.0;0.718;0.104;0.0
Référence naïve (classe majoritaire) [cas ambigus];1.0;0.0;0.0;0.0
Régression logistique — ACT + ODYSSEE;1.0;0.937;0.755;0.021
Régression logistique — ACT + ODYSSEE [cas ambigus];1.0;0.717;0.666;0.033
Régression logistique — ACT seul;1.0;0.938;0.733;0.017
Régression logistique — ACT seul [cas ambigus];1.0;0.688;0.548;0.028
