Classe;Libelle;Effectif
Annulation;Annulation;11
Annulation;EC le 24/07/26 annul;4
Association;Association;34
Attente clôture intervention;En attente;16
Attente clôture intervention;Erreur affact en attene ODY;2
Attente clôture intervention;AT;1
Autre;Doublon;1
Autre;EC le 24/07/26 EAU PRO + PELORCE S;1
Autre;ok SITR;1
Changement émetteur;EC le 24/07/26 chgt émet;36
Changement émetteur;EC le 22/07/26 chgt émet vu avec AJ;3
Correction données compteur;Correction modèle;4
Correction données compteur;Correction fabricant;3
Correction données compteur;Correction numéro compteur;1
Correction données compteur;EC le 24/07/26 chgt cptr;1
Correction données compteur;Le 24/07/26 MAJ cptr;1
Correction données compteur;Le 24/07/26 MAJ num cptr;1
Correction données compteur;Le 24/07/26 correction diam 15;1
IT4US;Le 24/07/26 IT4US;11
Support (SOP);Support (SOP);7
Vérification terrain (NC);Voir NC;348
